"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"Hoover City School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,376","29,754","28,780","4,208","10,301","10,431","525","1,449","326","8,936","3,519","","25,040","2,255","6,763","10,737","2,256","2,464","565","","91,783","","63,412","16,187","1,415","6,355","0","1,540","2,874","2,630","63,017"
"        Margin of Error","","±2,189","±1,853","±1,844","±1,023","±1,570","±1,515","±343","±643","±302","±1,460","±1,199","","±1,586","±609","±1,609","±1,677","±904","±1,111","±487","","±1,608","","±4,423","±4,025","±1,406","±2,102","±216","±1,292","±1,327","±1,391","±4,505"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,376","81.8%","79.1%","11.6%","28.3%","28.7%","1.4%","4.0%","0.9%","24.6%","9.7%","","25,040","9.0%","27.0%","42.9%","9.0%","9.8%","2.3%","","91,783","","69.1%","17.6%","1.5%","6.9%","0.0%","1.7%","3.1%","2.9%","68.7%"
"        Margin of Error","","±2,189","±3.1","±3.3","±2.8","±3.8","±3.6","±0.9","±1.8","±0.8","±3.8","±3.4","","±1,586","±2.3","±5.8","±6.3","±3.5","±4.5","±2.0","","±1,608","","±4.7","±4.4","±1.5","±2.3","±0.2","±1.4","±1.4","±1.5","±4.8"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","123,203","125,412","121,841","53,454","16,318","24,348","10,355","(X)","3,209","30,869","12,992","","152,011","85,998","131,224","160,600","167,651","197,458","240,411","","49,460","","53,561","34,442","N","63,529","N","17,131","42,859","22,583","53,815"
"        Margin of Error","","±11,064","±12,805","±12,669","±17,317","±4,516","±2,386","±1,926","(X)","±2,383","±6,533","±3,684","","±13,608","±15,584","±31,398","±16,681","±57,465","±22,445","±143,958","","±4,153","","±4,851","±8,457","N","±29,373","N","±16,600","±27,622","±13,960","±4,877"
"Auburn City School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,136","24,400","23,802","1,912","5,424","7,468","1,058","2,344","612","5,294","3,089","","17,404","N","N","N","N","N","N","","78,552","","52,763","14,844","47","6,941","0","887","3,070","3,706","51,816"
"        Margin of Error","","±1,766","±1,726","±1,794","±717","±1,462","±1,645","±806","±1,095","±658","±1,521","±1,364","","±1,371","N","N","N","N","N","N","","±41","","±4,377","±4,806","±108","±816","±216","±633","±1,583","±1,407","±4,420"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,136","83.7%","81.7%","6.6%","18.6%","25.6%","3.6%","8.0%","2.1%","18.2%","10.6%","","17,404","N","N","N","N","N","N","","78,552","","67.2%","18.9%","0.1%","8.8%","0.0%","1.1%","3.9%","4.7%","66.0%"
"        Margin of Error","","±1,766","±4.4","±4.6","±2.4","±4.6","±5.2","±2.8","±3.8","±2.3","±4.9","±4.5","","±1,371","N","N","N","N","N","N","","±41","","±5.6","±6.1","±0.1","±1.0","±0.2","±0.8","±2.0","±1.8","±5.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","79,325","73,769","74,002","20,169","22,304","21,689","5,676","(X)","3,208","35,957","9,707","","112,512","N","N","N","N","N","N","","29,770","","35,336","11,099","N","28,036","N","21,153","31,255","32,173","35,601"
"        Margin of Error","","±11,096","±10,898","±11,113","±10,343","±15,762","±3,114","±1,952","(X)","±2,000","±11,118","±4,177","","±16,684","N","N","N","N","N","N","","±4,483","","±5,297","±2,939","N","±4,554","N","±8,566","±22,198","±18,799","±5,352"
"Baldwin County School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,379","60,280","58,489","6,118","14,628","34,219","4,537","7,652","1,693","26,051","10,768","","57,976","12,696","16,954","18,209","4,145","4,255","1,717","","223,792","","183,320","21,143","746","1,956","0","4,658","11,969","11,586","181,606"
"        Margin of Error","","±3,459","±3,674","±3,675","±1,595","±2,015","±2,657","±1,230","±1,753","±855","±2,280","±2,074","","±3,384","±1,805","±2,462","±2,292","±1,566","±1,367","±1,281","","±3,648","","±4,128","±1,091","±690","±1,017","±216","±2,600","±2,864","±216","±3,813"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,379","69.8%","67.7%","7.1%","16.9%","39.6%","5.3%","8.9%","2.0%","30.2%","12.5%","","57,976","21.9%","29.2%","31.4%","7.1%","7.3%","3.0%","","223,792","","81.9%","9.4%","0.3%","0.9%","0.0%","2.1%","5.3%","5.2%","81.1%"
"        Margin of Error","","±3,459","±2.9","±3.1","±1.8","±2.3","±2.8","±1.4","±2.0","±1.0","±2.8","±2.4","","±3,384","±2.9","±3.9","±3.6","±2.7","±2.3","±2.2","","±3,648","","±1.1","±0.5","±0.3","±0.5","±0.1","±1.2","±1.3","±0.1","±0.8"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","88,340","90,261","88,346","44,734","20,874","21,850","11,401","(X)","4,499","36,622","11,454","","105,494","71,984","73,401","146,824","96,251","158,605","122,550","","35,644","","38,305","16,301","29,723","38,333","N","17,885","35,891","23,191","38,452"
"        Margin of Error","","±6,425","±7,043","±6,581","±24,044","±6,634","±1,231","±1,710","(X)","±2,693","±10,240","±1,933","","±8,641","±20,566","±12,603","±17,411","±30,820","±23,152","±28,586","","±2,517","","±2,989","±2,776","±26,278","±20,960","N","±8,153","±11,912","±5,667","±2,974"
"Birmingham City School District, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","87,570","63,539","61,764","5,218","8,342","28,234","8,063","23,444","2,835","17,023","9,135","","42,741","8,556","17,268","8,166","6,452","489","1,810","","196,410","","42,132","139,691","248","2,414","46","5,916","5,963","8,983","41,330"
"        Margin of Error","","±3,579","±3,057","±3,018","±1,206","±1,627","±2,734","±1,507","±2,378","±1,058","±1,963","±1,650","","±2,741","±1,539","±1,919","±1,413","±1,597","±276","±824","","±428","","±4,114","±4,978","±211","±997","±78","±2,613","±2,191","±2,298","±3,977"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","87,570","72.6%","70.5%","6.0%","9.5%","32.2%","9.2%","26.8%","3.2%","19.4%","10.4%","","42,741","20.0%","40.4%","19.1%","15.1%","1.1%","4.2%","","196,410","","21.5%","71.1%","0.1%","1.2%","0.0%","3.0%","3.0%","4.6%","21.0%"
"        Margin of Error","","±3,579","±2.4","±2.4","±1.3","±1.8","±2.8","±1.8","±2.6","±1.2","±2.2","±1.9","","±2,741","±3.1","±3.8","±3.3","±3.6","±0.6","±1.9","","±428","","±2.1","±2.5","±0.1","±0.5","±0.1","±1.3","±1.1","±1.2","±2.0"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","58,012","57,491","56,583","30,301","40,613","17,542","9,020","(X)","6,265","22,868","12,414","","71,173","33,417","46,657","131,037","84,732","98,557","157,726","","27,211","","47,485","21,598","N","51,038","N","14,933","18,289","16,375","47,846"
