"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2302_C01_001E","Estimate!!Total!!Families"
"S2302_C01_001M","Margin of Error!!Total!!Families"
"S2302_C01_002E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C01_002M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C01_003E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C01_003M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C01_004E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C01_004M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C01_005E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C01_005M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C01_006E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C01_006M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C01_007E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C01_007M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C01_008E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C01_008M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C01_009E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C01_009M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C01_010E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C01_010M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C01_011E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C01_011M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C01_012E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C01_012M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C01_013E","Estimate!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C01_013M","Margin of Error!!Total!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C01_014E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C01_014M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C01_015E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C01_015M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C01_016E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
