StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,298,309,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,302,305,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,608,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,609,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,2,259,348,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,2,259,347,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,2,259,347,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,2,348,259,,
Delaware,DE,District,Yes,,,,,Academia Antonia Alonso,Charter agency,1000053,9605,612,Monthly,6/1/21,6/30/21,Hybrid,,,,,,,,2,348,259,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,9/1/20,9/30/20,In-person,,,,,,,,162,,98,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,10/1/20,10/31/20,In-person,,,,,,,,194,,105,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,11/1/20,11/30/20,In-person,,,,,,,,209,,106,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,12/1/20,12/31/20,In-person,,,,,,,,216,,109,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,1/1/21,1/31/21,In-person,,,,,,,,214,,109,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,2/1/21,2/28/21,In-person,,,,,,,,202,,120,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,3/1/21,3/31/21,In-person,,,,,,,,202,,122,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,4/1/21,4/30/21,In-person,,,,,,,,201,,117,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,5/1/21,5/31/21,In-person,,,,,,,,203,,120,,
Delaware,DE,District,Yes,,,,,Academy of Dover Charter School,Charter agency,1000017,85,329,Monthly,6/1/21,6/30/21,In-person,,,,,,,,203,,120,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,9/1/20,9/30/20,,,,,,,,,,,1,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,42,11729,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,171,6292,5483,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,171,6095,5745,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,12035,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,22,6456,5577,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,23,6346,5567,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,22,7233,4786,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,228,7242,4598,,
Delaware,DE,District,No,,,,,Appoquinimink School District,Regular local school district,1000080,29,11914,Monthly,6/1/21,6/30/21,Hybrid,,,,,,,,236,7298,4588,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,10171,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,11/1/20,11/30/20,,,,,,,,,,97,12,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,879,8665,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,9,9542,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,3203,6482,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,3207,6464,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,3217,6434,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,14,5804,4182,,
Delaware,DE,District,No,,,,,Brandywine School District,Regular local school district,1001240,31,10405,Monthly,6/1/21,6/30/21,Hybrid,,,,,,,,6,6383,3616,,
Delaware,DE,District,No,,,,,Caesar Rodney School District,Regular local school district,1000180,10,7960,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
