StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,8/1/20,8/31/20,In-person,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,A.C.E. Academy,Charter agency,3700372,13C,368,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,8/1/20,8/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Achievement Charter Academy,Charter agency,3700459,43D,154,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,8/1/20,8/31/20,,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,2/1/21,2/28/21,Virtual,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,Yes,,,,,Alamance Community School ,Charter agency,3700467,01F,328,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,8/1/20,8/31/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,9/1/20,9/30/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,10/1/20,10/31/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,11/1/20,11/30/20,Virtual,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alamance-Burlington Schools,Regular local school district,3700030,010,21162,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
North Carolina,NC,District,No,,,,,Alexander County Schools,Regular local school district,3700090,020,4471,Monthly,8/1/20,8/31/20,Hybrid,,,,,,,,,,,,
