StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,8/1/20,8/31/20,Closed,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Aberdeen 06-1,Regular local school district,4602070,6001,4474,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,8/1/20,8/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Agar-Blunt-Onida 58-3,Regular local school district,4600042,58003,265,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,8/1/20,8/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Alcester-Hudson 61-1,Regular local school district,4600028,61001,344,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
South Dakota,SD,District,No,,,,,Andes Central 11-1,Regular local school district,4639540,11001,325,Monthly,8/1/20,8/31/20,In-person,,,,,,,,,,,,
