StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Anderson County,Regular local school district,4700090,10,5954,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Clinton,Regular local school district,4700720,11,925,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Oak Ridge,Regular local school district,4703240,12,4492,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bedford County,Regular local school district,4700180,20,8457,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Benton County,Regular local school district,4700240,30,1927,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,1/1/21,1/31/21,Virtual,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Bledsoe County,Regular local school district,4700270,40,1494,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,9/1/20,9/30/20,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,10/1/20,10/31/20,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,11/1/20,11/30/20,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,12/1/20,12/31/20,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,1/1/21,1/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,2/1/21,2/28/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,3/1/21,3/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,4/1/21,4/30/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Blount County,Regular local school district,4700300,50,10245,Monthly,5/1/21,5/31/21,In-person,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,12/1/20,12/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,1/1/21,1/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,2/1/21,2/28/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,3/1/21,3/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,4/1/21,4/30/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Alcoa,Regular local school district,4700060,51,2077,Monthly,5/1/21,5/31/21,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Maryville,Regular local school district,4702700,52,5368,Monthly,9/1/20,9/30/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Maryville,Regular local school district,4702700,52,5368,Monthly,10/1/20,10/31/20,Hybrid,,,,,,,,,,,,
Tennessee,TN,District,No,,,,,Maryville,Regular local school district,4702700,52,5368,Monthly,11/1/20,11/30/20,Hybrid,,,,,,,,,,,,
