StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,9/1/20,9/30/20,Virtual,Virtual,Virtual,Virtual,,100% Remote,100% Remote,100% Remote,,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,10/1/20,10/31/20,,,,,,Not Available,Not Available,,,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,11/1/20,11/30/20,Virtual,Virtual,Virtual,Virtual,,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,12/1/20,12/31/20,Virtual,,,,,,,,,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,1/1/21,1/31/21,Virtual,Virtual,Virtual,Virtual,,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,0,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,2/1/21,2/28/21,Virtual,Hybrid,Virtual,Virtual,,Phase-In,Small Groups + Remote,Small Groups + Remote,294,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,3/1/21,3/31/21,Hybrid,Hybrid,Hybrid,Hybrid,,Phase-In,Phase-In,Phase-In,1149,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,4/1/21,4/30/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,2254,,,303,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Monthly,5/1/21,5/31/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,2273,,,303,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Monthly,9/1/20,9/30/20,Hybrid,Hybrid,Hybrid,Virtual,,Phase-In,Phase-In,Small Groups + Remote,,,,61,
