sedaadmin,seda_district,stateabb,gys_mn_2019_ol,gys_mn_2022_ol,gys_mn_2023_ol,County Names,month,share_inperson,share_hybrid,share_virtual,membership,total_revenue,total_fed_revenue,County-Level Index,Family Unity,Community Health,Institutional Health,Collective Efficacy,married_household,married_household_children,male_married,female_married,male_never_married,female_never_married,male_divorced,female_divorced,birth_last_year_unmarried,over_25_highschool_degree,over_25_associates_degree,over_25_bachelors_degree,over_25_graduate_degree,native_born,only_english,non_english,with_computer,with_internet,unemployment,median_income,mean_income,with_health_insurance,poverty,owner_occupied_value,occupancy,SMOC,rent,mortgage_percentage,population,sex_ratio,hispanic_percent,white_percent,black_percent,asian_percent,no_workers,one_worker,employment_past_year
500001,Dewitt School District,AR,-0.0605535676530442,-0.6508396687972331,-0.7615298495328799,Arkansas County,2021m1,1,0,0,NA,NA,NA,-1.19737,-0.9755785,-0.0890021,-1.007019,-1.263206,49.5,14.4,51.2,47.2,29.8,25.8,14.1,14.5,166,42.5,12.4,10.4,5.4,98.6,98.0,2.0,86.1,74.9,6.5,71861,86631,93.7,10.8,125900,75.2,427,749,41.5,17024,94.1,17024,71.1,25.7,0,17.7,33.7,57.7
500006,Warren School District,AR,-1.489549006401752,-2.088265885037943,-1.539114200349267,Bradley County,2021m1,1,0,0,NA,NA,NA,-1.125393,-1.779942,-0.0495821,-1.248482,-0.0361675,41.3,14.3,47.0,38.5,31.0,29.3,17.0,15.9,145,47.1,6.2,8.7,3.8,92.9,85.6,14.4,86.6,72.6,5.6,60497,73609,87.5,13.9,87900,70.2,356,636,33.1,10461,93.6,10461,60.9,26,0.1,25.4,36.1,44.6
500012,Riverside School District,AR,-0.6025855129863507,-1.050732678616714,-1.230536576222224,Craighead County,2021m1,1,0,0,NA,NA,NA,-1.014962,-0.6092101,-1.096892,-0.553115,-0.664147,46.5,19.8,49.4,45.8,34.7,29.8,10.6,13.3,1189,33.1,7.8,17.3,10.9,96.4,93.9,6.1,93.3,85.5,5.9,72208,96786,91.4,13.2,182600,89.9,411,870,57.9,111038,95.5,111038,75.2,16.2,1.2,15.4,31.9,57.5
500015,Sheridan School District,AR,-0.1432515642048005,-1.1328088944393,-0.9814139988686544,Grant County,2021m1,0,1,0,NA,NA,NA,-0.2084397,0.3832448,-0.7150629,-0.5248671,0.1223766,53.3,17.6,56.4,51.6,29.5,20.3,9.2,12.0,153,42.6,7.7,13.7,5.1,98.3,97.5,2.5,90.1,83.4,3.3,85655,106029,93.9,9.8,141400,87.1,381,802,49.2,18022,101.5,18022,92.4,2.6,0.4,20.2,31.9,50.7
500016,Marmaduke School District,AR,-1.672059300127397,-0.9385642006265228,-0.2468490982963161,Greene County,2021m1,0,1,0,NA,NA,NA,-0.5928954,0.1961917,-1.042336,-0.6023868,-0.3537723,48.2,18.6,51.1,49.4,26.2,19.1,14.9,17.7,261,44.4,6.6,10.6,6.0,99.1,98.0,2.0,92.4,84.4,7.5,63750,78208,90.9,13.4,157400,92.2,378,808,56.9,45954,98,45954,91.5,2.5,0.4,16.6,34.1,55.4
500017,Paragould School District,AR,-0.3198967754983206,-1.247174602770271,-1.280714191424881,Greene County,2021m1,1,0,0,NA,NA,NA,-0.5928954,0.1961917,-1.042336,-0.6023868,-0.3537723,48.2,18.6,51.1,49.4,26.2,19.1,14.9,17.7,261,44.4,6.6,10.6,6.0,99.1,98.0,2.0,92.4,84.4,7.5,63750,78208,90.9,13.4,157400,92.2,378,808,56.9,45954,98,45954,91.5,2.5,0.4,16.6,34.1,55.4
500019,Batesville School District,AR,-0.628887297063252,-1.444070299301432,-1.368143216548531,Independence County,2021m1,1,0,0,NA,NA,NA,-1.028193,-0.4416926,-0.4926413,-0.5900005,-1.391281,52.5,21.8,52.7,52.5,30.6,19.6,11.6,13.8,378,38.6,8.2,11.6,5.5,96.6,94.8,5.2,87.9,68.1,5.2,62620,84971,89.9,14.3,111300,86.4,382,774,53.2,37910,99.9,37910,86.7,1.9,0.7,17.2,32.3,51.4
500020,Midland School District,AR,-2.670989286335772,-1.625949993685558,-1.805459067682183,Cleburne County,2021m1,1,0,0,NA,NA,NA,-0.0233638,0.4636368,-0.6932523,0.0290667,-0.0149939,53.4,15.5,58.8,56.3,20.7,13.3,14.8,14.4,284,39.4,9.2,11.4,5.8,99.2,98.2,1.8,89.3,81.2,6,64091,79237,92.8,10.3,162200,68,410,844,45,24948,99.9,24948,94.6,0.4,0.2,26.7,32.2,35.1
500023,Newport School District,AR,-1.715802387086377,-2.595700022149527,-2.530457785723872,Jackson County,2021m1,1,0,0,NA,NA,NA,-1.54631,-1.84066,-0.3059568,-0.8871489,-1.232737,39.8,14.4,42.7,34.3,33.1,27.4,20.8,19.8,307,44.6,7.5,7.8,4.1,99.3,98.2,1.8,86.2,75.9,10.9,57354,71833,91.6,16.2,85700,85.9,377,650,39.6,16784,100.6,16784,76.1,12.2,0.4,19.2,32.6,49.7
500026,Pine Bluff School District,AR,-3.701635647098507,-4.020620494303541,-3.992660814702781,Jefferson County,2021m1,1,0,0,NA,NA,NA,-2.311244,-1.979763,-0.5381038,-0.5365102,-3.294844,38.8,10.7,40.9,36.7,40.5,34.9,13.4,12.4,740,42.3,5.3,14.0,6.2,98.2,96.3,3.7,89.5,75.3,7.8,63405,77431,93.8,16,105300,78.9,394,820,47.9,66934,100.4,66934,38.6,56,0.8,20.8,39,47
