"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"1","Hoover City",NA,"36,376","81.8%","79.1%","11.6%","28.3%",28.7,"1.4%","4.0%","0.9%","24.6%","9.7%",NA,"25,040","9.0%","27.0%","42.9%","9.0%","9.8%","2.3%",NA,"91,783",NA,"69.1%","17.6%","1.5%","6.9%","0.0%","1.7%","3.1%","2.9%","68.7%","AL"
"2","Auburn City",NA,"29,136","83.7%","81.7%","6.6%","18.6%",25.6,"3.6%","8.0%","2.1%","18.2%","10.6%",NA,"17,404","N","N","N","N","N","N",NA,"78,552",NA,"67.2%","18.9%","0.1%","8.8%","0.0%","1.1%","3.9%","4.7%","66.0%","AL"
"3","Baldwin County",NA,"86,379","69.8%","67.7%","7.1%","16.9%",39.6,"5.3%","8.9%","2.0%","30.2%","12.5%",NA,"57,976","21.9%","29.2%","31.4%","7.1%","7.3%","3.0%",NA,"223,792",NA,"81.9%","9.4%","0.3%","0.9%","0.0%","2.1%","5.3%","5.2%","81.1%","AL"
"4","Birmingham City",NA,"87,570","72.6%","70.5%","6.0%","9.5%",32.2,"9.2%","26.8%","3.2%","19.4%","10.4%",NA,"42,741","20.0%","40.4%","19.1%","15.1%","1.1%","4.2%",NA,"196,410",NA,"21.5%","71.1%","0.1%","1.2%","0.0%","3.0%","3.0%","4.6%","21.0%","AL"
"5","Cullman County",NA,"27,968","75.0%","70.6%","9.4%","16.8%",38.5,"9.1%","9.7%","0.6%","23.1%","10.7%",NA,"20,691","N","N","N","N","N","N",NA,"72,023",NA,"90.8%","1.2%","0.6%","0.6%","0.0%","3.4%","3.4%","5.4%","90.3%","AL"
"6","Dothan City",NA,"30,301","70.8%","67.9%","9.0%","12.2%",33.6,"5.9%","16.9%","2.0%","26.8%","12.8%",NA,"19,024","21.4%","36.8%","23.1%","10.7%","4.9%","3.1%",NA,"71,283",NA,"56.5%","35.4%","0.5%","1.5%","0.0%","1.1%","5.0%","3.4%","56.1%","AL"
"7","Elmore County",NA,"29,643","70.6%","68.7%","9.5%","14.7%",37.6,"3.1%","12.2%","0.6%","25.2%","15.2%",NA,"19,881","21.2%","33.9%","26.1%","10.3%","5.3%","3.3%",NA,"81,910",NA,"74.2%","20.8%","0.2%","0.1%","0.0%","0.4%","4.3%","N","N","AL"
"8","Huntsville City",NA,"96,461","79.2%","77.1%","8.5%","25.0%",25.6,"4.4%","9.5%","2.4%","27.1%","12.4%",NA,"54,297","16.0%","36.1%","29.9%","10.1%","5.7%","2.2%",NA,"215,315",NA,"61.6%","24.4%","0.5%","1.9%","0.2%","1.4%","10.0%","6.0%","60.8%","AL"
"9","Jefferson County",NA,"94,761","76.0%","74.1%","8.9%","12.9%",36.3,"7.0%","13.8%","2.5%","25.9%","11.1%",NA,"61,338","15.2%","38.5%","23.4%","14.3%","6.1%","2.4%",NA,"242,571",NA,"54.7%","39.4%","0.2%","0.3%","0.1%","1.5%","3.8%","2.6%","54.3%","AL"
"10","Limestone County",NA,"23,958","74.2%","69.0%","14.5%","20.1%",36.4,"4.1%","7.7%","1.2%","34.8%","11.6%",NA,"16,743","N","N","N","N","N","N",NA,"66,205",NA,"73.3%","11.8%","0.4%","0.5%","0.6%","2.3%","11.1%","N","N","AL"
"11","Madison County",NA,"52,170","80.8%","78.6%","10.4%","17.0%",30.6,"3.5%","4.9%","0.6%","26.8%","15.1%",NA,"40,369","12.6%","34.6%","30.8%","8.2%","11.4%","2.3%",NA,"136,443",NA,"68.8%","22.4%","0.6%","1.5%","0.0%","0.9%","5.7%","3.8%","67.7%","AL"
"12","Mobile County",NA,"151,911","73.2%","70.4%","7.8%","9.9%",35.1,"7.6%","20.7%","1.5%","23.8%","11.5%",NA,"95,800","17.9%","38.0%","26.9%","9.4%","5.8%","2.0%",NA,"385,870",NA,"54.8%","37.0%","0.4%","2.3%","0.0%","2.0%","3.5%","3.3%","54.3%","AL"
"13","Montgomery County",NA,"89,054","73.4%","70.6%","9.5%","11.8%",30.9,"6.2%","21.3%","1.3%","23.2%","17.8%",NA,"54,265","18.4%","40.6%","23.1%","9.6%","6.2%","2.1%",NA,"216,147",NA,"30.7%","61.2%","0.1%","2.8%","0.0%","1.5%","3.8%","4.0%","29.4%","AL"
"14","Shelby County",NA,"54,505","82.8%","80.3%","8.5%","17.0%",27.2,"1.6%","6.2%","1.0%","24.3%","10.9%",NA,"39,550","12.0%","30.3%","36.3%","9.6%","10.1%","1.8%",NA,"140,671",NA,"77.9%","10.9%","0.1%","0.9%","0.0%","3.4%","6.8%","5.8%","76.3%","AL"
"15","Tuscaloosa City",NA,"38,879","77.8%","76.7%","7.5%","12.2%",26.8,"6.8%","14.1%","4.3%","16.2%","11.8%",NA,"21,939","16.1%","39.5%","28.4%","10.5%","5.6%","0.0%",NA,"100,104",NA,"45.4%","45.8%","0.0%","2.9%","0.0%","1.6%","4.3%","5.6%","43.9%","AL"
"16","Tuscaloosa County",NA,"47,815","77.1%","76.1%","11.6%","13.9%",31.1,"4.3%","10.2%","2.1%","26.9%","13.5%",NA,"34,434","16.5%","31.1%","32.1%","7.3%","9.8%","3.3%",NA,"126,903",NA,"72.3%","21.5%","0.1%","0.3%","0.0%","0.6%","5.1%","3.0%","71.9%","AL"
"17","Anchorage",NA,"109,584","84.2%","81.5%","10.8%","37.7%",20.8,"5.2%","13.3%","7.2%","23.2%","27.7%",NA,"68,583","9.6%","32.8%","34.8%","9.0%","9.6%","4.2%",NA,"288,121",NA,"57.0%","5.1%","6.7%","9.6%","3.1%","3.6%","14.9%","9.7%","55.0%","AK"
"18","Matanuska-Susitna Borough",NA,"40,997","78.7%","75.0%","12.2%","40.5%",24.9,"5.8%","11.2%","6.4%","25.5%","43.2%",NA,"29,343","15.3%","37.8%","28.5%","8.0%","7.8%","2.5%",NA,"110,686",NA,"76.5%","1.0%","6.1%","2.0%","0.5%","2.4%","11.5%","5.6%","75.2%","AK"
